t,group,first_shot_rate,immun_gain,immun_loss,rel_inf_prob_mult,pS_mult,hosp_mult,dnh_mult,dh_mult
125,20-39,0,0,0,1,1,1,1,1
125,40-64,0,0,0,1,1,1,1,1
125,65+,0,0,0,1,1,1,1,1
126,0-19,0,0,0,1,1,1,1,1
126,20-39,0,0,0,1,1,1,1,1
126,40-64,0,0,0,1,1,1,1,1
126,65+,0,0,0,1,1,1,1,1
127,0-19,0,0,0,1,1,1,1,1
127,20-39,0,0,0,1,1,1,1,1
127,40-64,0,0,0,1,1,1,1,1
127,65+,0,0,0,1,1,1,1,1
128,0-19,0,0,0,1,1,1,1,1
128,20-39,0,0,0,1,1,1,1,1
128,40-64,0,0,0,1,1,1,1,1
128,65+,0,0,0,1,1,1,1,1
129,0-19,0,0,0,1,1,1,1,1
129,20-39,0,0,0,1,1,1,1,1
129,40-64,0,0,0,1,1,1,1,1
129,65+,0,0,0,1,1,1,1,1
130,0-19,0,0,0,1,1,1,1,1
130,20-39,0,0,0,1,1,1,1,1
130,40-64,0,0,0,1,1,1,1,1
130,65+,0,0,0,1,1,1,1,1
131,0-19,0,0,0,1,1,1,1,1
131,20-39,0,0,0,1,1,1,1,1
131,40-64,0,0,0,1,1,1,1,1
131,65+,0,0,0,1,1,1,1,1
132,0-19,0,0,0,1,1,1,1,1
132,20-39,0,0,0,1,1,1,1,1
132,40-64,0,0,0,1,1,1,1,1
132,65+,0,0,0,1,1,1,1,1
133,0-19,0,0,0,1,1,1,1,1
133,20-39,0,0,0,1,1,1,1,1
133,40-64,0,0,0,1,1,1,1,1
133,65+,0,0,0,1,1,1,1,1
134,0-19,0,0,0,1,1,1,1,1
134,20-39,0,0,0,1,1,1,1,1
134,40-64,0,0,0,1,1,1,1,1
134,65+,0,0,0,1,1,1,1,1
135,0-19,0,0,0,1,1,1,1,1
135,20-39,0,0,0,1,1,1,1,1
135,40-64,0,0,0,1,1,1,1,1
135,65+,0,0,0,1,1,1,1,1
136,0-19,0,0,0,1,1,1,1,1
136,20-39,0,0,0,1,1,1,1,1
136,40-64,0,0,0,1,1,1,1,1
136,65+,0,0,0,1,1,1,1,1
137,0-19,0,0,0,1,1,1,1,1
137,20-39,0,0,0,1,1,1,1,1
137,40-64,0,0,0,1,1,1,1,1
137,65+,0,0,0,1,1,1,1,1
138,0-19,0,0,0,1,1,1,1,1
138,20-39,0,0,0,1,1,1,1,1
138,40-64,0,0,0,1,1,1,1,1
138,65+,0,0,0,1,1,1,1,1
139,0-19,0,0,0,1,1,1,1,1
139,20-39,0,0,0,1,1,1,1,1
139,40-64,0,0,0,1,1,1,1,1
139,65+,0,0,0,1,1,1,1,1
140,0-19,0,0,0,1,1,1,1,1
140,20-39,0,0,0,1,1,1,1,1
140,40-64,0,0,0,1,1,1,1,1
140,65+,0,0,0,1,1,1,1,1
141,0-19,0,0,0,1,1,1,1,1
141,20-39,0,0,0,1,1,1,1,1
141,40-64,0,0,0,1,1,1,1,1
141,65+,0,0,0,1,1,1,1,1
142,0-19,0,0,0,1,1,1,1,1
142,20-39,0,0,0,1,1,1,1,1
142,40-64,0,0,0,1,1,1,1,1
142,65+,0,0,0,1,1,1,1,1
143,0-19,0,0,0,1,1,1,1,1
143,20-39,0,0,0,1,1,1,1,1
143,40-64,0,0,0,1,1,1,1,1
143,65+,0,0,0,1,1,1,1,1
144,0-19,0,0,0,1,1,1,1,1
144,20-39,0,0,0,1,1,1,1,1
144,40-64,0,0,0,1,1,1,1,1
144,65+,0,0,0,1,1,1,1,1
145,0-19,0,0,0,1,1,1,1,1
145,20-39,0,0,0,1,1,1,1,1
145,40-64,0,0,0,1,1,1,1,1
145,65+,0,0,0,1,1,1,1,1
146,0-19,0,0,0,1,1,1,1,1
146,20-39,0,0,0,1,1,1,1,1
146,40-64,0,0,0,1,1,1,1,1
146,65+,0,0,0,1,1,1,1,1
147,0-19,0,0,0,1,1,1,1,1
147,20-39,0,0,0,1,1,1,1,1
147,40-64,0,0,0,1,1,1,1,1
147,65+,0,0,0,1,1,1,1,1
148,0-19,0,0,0,1,1,1,1,1
148,20-39,0,0,0,1,1,1,1,1
148,40-64,0,0,0,1,1,1,1,1
148,65+,0,0,0,1,1,1,1,1
149,0-19,0,0,0,1,1,1,1,1
149,20-39,0,0,0,1,1,1,1,1
149,40-64,0,0,0,1,1,1,1,1
149,65+,0,0,0,1,1,1,1,1
150,0-19,0,0,0,1,1,1,1,1
150,20-39,0,0,0,1,1,1,1,1
150,40-64,0,0,0,1,1,1,1,1
150,65+,0,0,0,1,1,1,1,1
151,0-19,0,0,0,1,1,1,1,1
151,20-39,0,0,0,1,1,1,1,1
151,40-64,0,0,0,1,1,1,1,1
151,65+,0,0,0,1,1,1,1,1
152,0-19,0,0,0,1,1,1,1,1
152,20-39,0,0,0,1,1,1,1,1
152,40-64,0,0,0,1,1,1,1,1
152,65+,0,0,0,1,1,1,1,1
153,0-19,0,0,0,1,1,1,1,1
153,20-39,0,0,0,1,1,1,1,1
153,40-64,0,0,0,1,1,1,1,1
153,65+,0,0,0,1,1,1,1,1
154,0-19,0,0,0,1,1,1,1,1
154,20-39,0,0,0,1,1,1,1,1
154,40-64,0,0,0,1,1,1,1,1
154,65+,0,0,0,1,1,1,1,1
155,0-19,0,0,0,1,1,1,1,1
155,20-39,0,0,0,1,1,1,1,1
155,40-64,0,0,0,1,1,1,1,1
155,65+,0,0,0,1,1,1,1,1
156,0-19,0,0,0,1,1,1,1,1
156,20-39,0,0,0,1,1,1,1,1
